Lat,Lon,Titel,Cases,Deaths
46.2017559,6.1466014,Geneva,468,5
46.6356963,6.5320717,Vaud,1001,5
47.5579097,7.5927728,Basel City,222,4
47.412396,8.1948321,Aargau,118,0
47.3723941,8.5423328,Zurich,526,3
46.3356506,8.753706,Ticino,638,15
46.6960615,9.6027351,Graubünden,64,1
46.2303063,7.6605757,Valais,232,4
47.4839723,7.7347783,Basel Country,134,2
46.8739775,7.5631943,Bern,282,1
46.6789116,7.1027113,Fribourg,38,1
47.1486137,8.5539378,Zug,24,0
47.0571976,8.7222073,Schwyz,9,0
46.9895828,6.9292641,Neuchâtel,132,2
47.2033184,9.3507024,St. Gallen,85,0
47.0505452,8.3054682,Lucerne,65,0
47.3960076,9.3705839,Appenzell Ausserrhoden,5,0
47.3370866,7.2440935,Jura,23,0
47.5859649,9.1428769,Thurgau,36,0
47.31874,7.6698284,Solothurn,19,0
47.3007262,9.3991527,Appenzell Innerrhoden,2,0
46.9796562,9.108812,Glarus,2,0
47.7151451,8.519796,Schaffhausen,6,0
46.942756,8.4119773,Nidwalden,25,0
46.8613857,8.2067825,Obwalden,1,0
46.7864413,8.6420159,Uri,7,0
